policy_id,category,title,description,rules,authorization_level
FLK001,returns,Easy Returns,Flipkart's hassle-free return policy,"30-day return policy for most categories. 7-day return for mobile phones and electronics. Items must be unused and in original packaging. Free pickup for returns above ₹500.",agent
FLK002,replacement,Product Replacement,Replacement policy for defective items,"Free replacement for manufacturing defects within return period. Same model replacement preferred. If unavailable, refund processed. Replacement pickup scheduled within 2-3 days.",agent
FLK003,refund,Refund Policy,How refunds work on Flipkart,"Refunds processed within 7-14 business days. Credit/debit card refunds: 7-10 days. Net banking: 7-14 days. Flipkart Gift Card refunds: instant. Cancellation refunds: 1-2 days.",supervisor
FLK004,shipping,Shipping Policy,Delivery terms and shipping charges,"Free shipping on orders above ₹500. Standard delivery: 2-6 business days. Express delivery available in select cities. Cash on Delivery available. Installation services for appliances.",agent
FLK005,cod,Cash on Delivery,COD terms and conditions,"COD available on orders up to ₹50,000. Additional ₹25 COD charge on orders below ₹500. Exact change preferred. Digital payment encouraged. COD verification may be required.",agent
FLK006,plus,Flipkart Plus,Flipkart Plus membership benefits,"Earn Plus Coins on every purchase. Free delivery with no minimum order value. Early access to sales. Plus Zone products with special pricing. Priority customer support.",agent
FLK007,grocery,Flipkart Grocery,Grocery delivery policies,"Fresh groceries delivered in 2-6 hours. Minimum order ₹99. Express delivery available. Substitutions made for out-of-stock items. Quality guarantee on fresh products.",agent
FLK008,fashion,Fashion Returns,Special return policy for fashion items,"Fashion items: 10-day return/exchange policy. Size exchange available. Fashion must be unworn with tags intact. Try & Buy available for select items. Quality issues: full refund.",agent
FLK009,mobile,Mobile Exchange,Mobile phone exchange program,"Exchange old mobile for discount on new purchase. Device evaluation done by expert. Exchange value depends on device condition. Data backup and wiping assistance provided.",supervisor
FLK010,warranty,Extended Warranty,Extended warranty plans,"1-3 year extended warranty plans available. Covers manufacturing defects after manufacturer warranty. On-site service for appliances. Accidental damage protection available.",supervisor
FLK011,emi,No Cost EMI,EMI payment options,"0% interest EMI available on credit cards and Bajaj Finserv. 3-24 month EMI options. Processing fee may apply. Credit approval required. Foreclosure allowed.",manager
FLK012,cancellation,Order Cancellation,How to cancel orders,"Orders can be cancelled before dispatch. Refund processed immediately for prepaid orders. COD orders: no refund needed. Partial cancellation allowed for multi-item orders.",agent
FLK013,bigbillion,Big Billion Days,Sale event policies,"Special sale prices valid during event period only. Limited quantity deals. Price changes without notice. Sale prices cannot be combined with other offers. Flash sales: first come first served.",manager
FLK014,seller,Seller Protection,Policies for Flipkart sellers,"Sellers must maintain 4+ star rating. Late delivery penalties apply. Product quality standards enforced. Customer service response time: 24 hours. Seller protection against false claims.",supervisor
FLK015,assured,Flipkart Assured,Quality assurance program,"Assured products meet Flipkart quality standards. Faster delivery guarantee. Enhanced customer support. Quality checked before dispatch. Higher return priority.",agent
FLK016,books,Books Policy,Special policies for books,"Books non-returnable after 10 days. Academic books: semester-long return policy. E-books: no return after download. Book condition clearly mentioned. International editions clearly marked.",agent
FLK017,pharmacy,Health+ Pharmacy,Online pharmacy policies,"Valid prescription required for medicines. Age verification for certain products. Licensed pharmacist consultation available. Medicine returns only for damaged/wrong items. Cold chain maintained.",manager
FLK018,furniture,Furniture Delivery,Large furniture delivery terms,"Furniture installation service available. Delivery coordination call made. Ground floor delivery standard. Additional charges for elevator/stairs. Assembly instructions provided.",supervisor
FLK019,travel,Travel Bookings,Flipkart travel booking policies,"Flight/hotel booking cancellation as per provider terms. Travel insurance available. Customer support for booking issues. Refund processing: 7-21 business days depending on provider.",manager
FLK020,gift,Gift Cards,Flipkart Gift Card terms,"Gift cards valid for 1 year from issue. Can be used for most products except gold/travel. Partial redemption allowed. Cannot be transferred or resold. No cash refund available.",agent
