policy_id,category,title,description,rules,authorization_level,max_value,time_limit_days,hard_limit
POL001,billing,Payment Processing Policy,Guidelines for handling customer payment issues,"All payment disputes must be investigated within 24 hours. Refunds require manager approval for amounts OVER $100. Agents CANNOT approve refunds over $100 without manager sign-off. Payment investigations must be documented with case ID.",agent,100,1,true
POL002,account,Account Access Policy,Procedures for account lockouts and password resets,"Password resets require email verification — agents CANNOT reset passwords without identity verification. Account lockouts after 5 failed attempts require manual unlock by agent. Account suspension can only be lifted by supervisor. Agents CANNOT share account credentials over chat.",agent,0,0,true
POL003,technical,System Maintenance Policy,Guidelines for system maintenance and downtime,"All maintenance must be scheduled during off-peak hours (2am-6am). Customers must be notified 48 hours in advance. Agents CANNOT promise uptime guarantees beyond the stated 99.5% SLA. Compensation for downtime exceeding 4 hours is one extra day of service credit only.",supervisor,0,2,true
POL004,billing,Refund Policy,Customer refund eligibility and processing,"Full refunds ONLY available within 30 days of purchase — agents CANNOT offer full refunds after 30 days under any circumstances. Partial refunds (up to 50%) may be offered for service disruptions within 60 days. Refunds over $500 require CFO approval. Digital/downloaded products are NON-refundable after access. Agents CANNOT promise refunds outside these windows.",manager,500,30,true
POL005,account,Data Privacy Policy,Customer data handling and privacy protection,"Customer data CANNOT be shared with any third party without explicit written consent. All data access must be logged and audited. Agents CANNOT read or share another customer's account details. GDPR deletion requests must be fulfilled within 30 days — agents cannot delay this. Agents CANNOT store customer passwords.",agent,0,30,true
POL006,general,Communication Policy,Standards for customer service interactions,"All communications must be professional and empathetic. Response time MUST NOT exceed 24 hours — agents cannot promise faster unless escalated. Agents CANNOT make promises not backed by policy (e.g. 'we'll fix it today'). All commitments made to customers must be documented.",agent,0,1,true
POL007,technical,Security Policy,Information security and access controls,"All systems require multi-factor authentication. Security incidents must be reported immediately — agents CANNOT delay incident reporting. Agents CANNOT bypass MFA for any customer. Suspected fraud must be escalated immediately — agents cannot handle fraud cases independently.",supervisor,0,0,true
POL008,billing,Subscription Policy,Guidelines for subscription management,"Subscription changes take effect at the NEXT billing cycle — agents CANNOT make immediate plan changes mid-cycle. Cancellations require 30-day notice for annual plans. Monthly plans can be cancelled anytime but NO pro-rated refund for current month. Agents CANNOT offer free months without supervisor approval.",agent,0,30,true
POL009,billing,Compensation Policy,Rules for offering service credits and compensation,"Service credits can ONLY be offered for verified outages or errors caused by the company. Maximum credit an agent can offer without approval: 1 month free (value up to $50). Credits over $50 require supervisor approval. Agents CANNOT offer cash compensation — only service credits. No compensation for issues caused by customer error.",agent,50,0,true
POL010,account,VIP Account Policy,Special handling for VIP and enterprise customers,"VIP accounts must receive response within 4 hours. Dedicated account manager must be looped in on all VIP issues. Agents CANNOT make decisions on VIP accounts without account manager approval. VIP accounts get priority refund processing within 48 hours.",supervisor,0,0,true
POL011,general,Escalation Policy,When and how to escalate customer issues,"MUST escalate if: customer threatens legal action, refund request over $500, security breach suspected, customer contacts media, 3rd failed resolution attempt. Agents CANNOT continue handling a case after legal threat — immediately escalate to legal team. Escalation must be documented with full case notes.",agent,500,0,true
POL012,technical,Known Issues Policy,Handling reports of known product bugs or outages,"Agents must check the known issues registry before investigating. If issue is a known bug, inform customer of ETA and log as affected. Agents CANNOT promise a bug fix date not officially communicated by engineering. Compensation for known issues: 1 day service credit per 4 hours of downtime (max 7 days).",agent,0,0,true
